Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/13/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,39.75859705,40.68479905,-2.27653,-0.926202,11930.91,474356322.6470096
03/12/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,40.68479902,41.94613902,-3.00705,-1.26134,10980.91,446756197.77630624
03/11/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,41.94613852,46.96841952,-10.69289,-5.022281,10330.91,433341865.78993024
03/08/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.96841957,46.74301857,0.48221,0.225401,10330.91,485226609.35674784
03/07/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.74301856,44.72864656,4.50354,2.014372,10880.91,508606671.56572672
03/06/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.72864612,42.79105412,4.52803,1.937592,10880.91,486688462.31086144
03/05/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,42.79105388,41.97911888,1.93414,0.811935,10880.91,465605691.65553856
03/04/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,41.97911849,40.59909449,3.39915,1.380024,10880.91,456771094.12726288
03/01/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,40.59909497,43.37770697,-6.40562,-2.778612,10880.91,441755179.64821264
02/28/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.37770688,43.79085488,-0.94346,-0.413148,10880.91,471989011.32307456
02/27/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.79085473,43.99855073,-0.47205,-0.207696,10880.91,476484436.72191376
02/26/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.99855107,43.23902907,1.75657,0.759522,10880.91,478744362.32017584
02/25/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.23902859,41.85760259,3.30030,1.381426,10880.91,470480065.05327408
02/22/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,41.85760277,44.61788977,-6.18650,-2.760287,10880.91,455448892.27132624
02/21/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.61789007,43.41941207,2.76024,1.198478,10030.91,447558128.91784384
02/20/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.41941208,46.34625308,-6.31516,-2.926841,9980.91,433365331.06221696
02/19/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.3462531,46.3484481,-0.00474,-0.002195,9480.91,439404747.1708272
02/15/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.34844838,48.91313538,-5.24335,-2.564687,9480.91,439425560.42732256
02/14/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,48.91313552,47.82913552,2.26640,1.084,8780.91,429501938.64519424
02/13/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.82913595,48.04597095,-0.45131,-0.216835,7180.91,343456816.2929864
02/12/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,48.04597046,49.21903646,-2.38336,-1.173066,6530.91,313784005.02885952
02/11/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.21903616,49.79834116,-1.16330,-0.579305,6530.91,321445193.88577792
02/08/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.79834127,51.30415727,-2.93508,-1.505816,6530.91,325228584.58033824
02/07/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.3041573,48.6577363,5.43885,2.646421,6530.91,335062936.5604576
02/06/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,48.65773642,49.31939442,-1.34158,-0.661658,6530.91,317779394.67821504
02/05/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.31939456,49.61364756,-0.59309,-0.294253,6130.91,302372867.94063872
02/04/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.61364714,51.71250414,-4.05870,-2.098857,6130.91,304176904.61439168
02/01/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.7125038,52.5542818,-1.60173,-0.841778,6130.91,317044810.0974656
01/31/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,52.55428216,55.86536816,-5.92690,-3.311086,6130.91,322205679.14612992
01/30/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,55.86536788,59.33799688,-5.85229,-3.472629,6130.91,342505654.31990656
01/29/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,59.33799682,60.38247382,-1.72977,-1.044477,6130.91,363796036.75969984
01/28/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,60.38247411,56.86445611,6.18667,3.518018,6130.91,370199635.11068832
01/25/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.8644566,60.8495666,-6.54912,-3.98511,6130.91,348630979.3424192
01/24/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,60.84956658,63.24714158,-3.79080,-2.397575,6130.91,373063337.94012096
01/23/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.24714163,65.13071263,-2.89199,-1.883571,6130.91,387762659.58506656
01/22/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,65.13071288,57.06477788,14.13470,8.065935,6130.91,399310669.16454656
01/18/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.06477781,57.98011081,-1.57870,-0.915333,6130.91,349859131.05266272
01/17/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.98011126,60.31438426,-3.87018,-2.334273,5730.91,332278915.38126912
01/16/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,60.31438435,59.37084335,1.58923,0.943541,5730.91,345656429.0440272
01/15/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,59.3708438,62.4284688,-4.89781,-3.057625,5030.91,298689490.5235456
01/14/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,62.42846868,62.32685268,0.16304,0.101616,5030.91,314072132.22383616
01/11/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,62.32685258,65.27191358,-4.51199,-2.945061,4830.91,301095540.05095296
01/10/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,65.27191328,66.50296728,-1.85113,-1.231054,4780.91,312059273.46331136
01/09/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,66.50296754,68.45504154,-2.85161,-1.952074,4630.91,307969390.41659648
01/08/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,68.45504118,70.78275218,-3.28853,-2.327711,4480.91,306741015.48395616
01/07/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,70.78275175,72.69916475,-2.63609,-1.916413,4480.91,317171281.709596
01/04/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,72.69916499,83.04488699,-12.45799,-10.345722,3780.91,274869145.30067088
01/03/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.04488695,77.47379695,7.19093,5.57109,3380.91,280767454.8278984
01/02/2019,ProShares Ultra VIX Short-Term Futures ETF,UVXY,77.47379723,81.45615623,-4.88896,-3.982359,3080.91,238689951.57147376
12/31/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,81.45615597,86.65629697,-6.00088,-5.200141,2630.91,214303978.21534464
12/28/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,86.65629673,85.51877573,1.33014,1.137521,2530.91,219319461.26951776
12/27/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,85.51877533,83.76006433,2.09970,1.758711,2530.91,216440494.70800096
12/26/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.76006436,89.65189536,-6.57190,-5.891831,2430.91,203613345.57349632
12/24/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,89.65189536,82.45910336,8.72286,7.192792,2430.91,217935868.25336832
12/21/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,82.45910314,75.03955914,9.88751,7.419544,2430.91,200450823.33226368
12/20/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,75.03955954,73.13938654,2.59802,1.900173,4080.91,306229839.00150048
12/19/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,73.13938684,71.43768284,2.38208,1.701704,4080.91,298475401.42799808
12/18/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,71.4376826,69.7651396,2.39739,1.672543,3780.91,270099591.3945312
12/17/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,69.76513987,65.55504487,6.42223,4.210095,3880.91,270752368.50316144
12/14/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,65.55504486,62.30966586,5.20847,3.245379,3880.91,254413360.25771232
12/13/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,62.30966539,63.38321339,-1.69374,-1.073548,3880.91,241818328.12803568
12/12/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.38321332,63.79773232,-0.64974,-0.414519,3880.91,245984673.17214784
12/11/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.79773264,64.02999164,-0.36273,-0.232259,3880.91,247593386.17536768
12/10/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,64.02999184,64.63725884,-0.93950,-0.607267,3880.91,248494763.69175808
12/07/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,64.63725839,58.65108739,10.20641,5.986171,3880.91,250851511.73285168
12/06/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,58.65108704,57.07963804,2.75308,1.571449,4180.91,245215033.61858048
12/04/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.07963769,47.34131469,20.57045,9.738323,5630.91,321410416.82427328
12/03/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.34131476,51.04220476,-7.25065,-3.70089,5980.91,283144237.54386112
11/30/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.04220433,54.03619933,-5.54072,-2.993995,5480.91,279757830.21874896
11/29/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,54.03619883,53.26983183,1.43865,0.766367,5080.91,274553171.06973296
11/28/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,53.26983217,55.71140617,-4.38254,-2.441574,5080.91,270659329.51053904
11/27/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,55.7114059,56.4483149,-1.30546,-0.736909,4480.91,249637907.2341808
11/26/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.44831515,63.43136915,-11.00883,-6.983054,3980.91,224715775.1604168
11/23/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.43136886,61.87367686,2.51754,1.557692,3580.91,227142149.92720032
11/21/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,61.87367714,63.26884514,-2.20514,-1.395168,4530.91,280344186.23775168
11/20/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.26884475,58.31918275,8.48719,4.949662,4530.91,286665567.903912
11/19/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,58.31918237,53.51384837,8.97961,4.805334,5380.91,313810388.24492144
11/16/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,53.51384857,57.26283157,-6.54697,-3.748983,5380.91,287953309.93649584
11/15/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.2628317,58.9832917,-2.91686,-1.72046,6380.91,365389089.9485104
11/14/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,58.98329195,56.53264595,4.33492,2.450646,6380.91,376367195.4032584
11/13/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.53264583,56.02119383,0.91296,0.511452,6980.91,394649425.66639696
11/12/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.02119341,50.27143541,11.43743,5.749758,6980.91,391079021.33018992
11/09/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.27143531,48.16101331,4.38201,2.110422,6980.91,350940466.01280272
11/08/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,48.1610129,47.8006169,0.75396,0.360396,6680.91,321759489.0157648
11/07/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.80061676,53.83516176,-11.20930,-6.034545,5680.91,271551097.35928512
11/06/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,53.83516175,56.91264875,-5.40739,-3.077487,5680.91,305832816.407516
11/05/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.91264915,57.80980515,-1.55191,-0.897156,5680.91,323315751.5080248
11/02/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.80980467,57.00784867,1.40675,0.801956,5680.91,328412413.06745904
11/01/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.00784907,61.07461707,-6.65869,-4.066768,6680.91,380864422.94595184
10/31/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,61.07461657,63.71628857,-4.14599,-2.641672,6680.91,408034138.73791184
10/30/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.71628814,66.10224114,-3.60949,-2.385953,6680.91,425682914.02998368
10/29/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,66.10224154,63.95326354,3.36023,2.148978,6680.91,441623258.73148448
10/26/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.95326326,63.13871026,1.29010,0.814553,6680.91,427266123.95289312
10/25/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,63.13870992,61.87944992,2.03502,1.25926,6680.91,421824164.76904704
10/24/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,61.87944981,54.53984981,13.45732,7.3396,6680.91,413411159.449074675550301826
10/23/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,54.53987723,53.67517723,1.61099,0.8647,6830.91,372557102.430692883136359358
10/22/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,53.67518876,52.88428876,1.49553,0.7909,6830.91,366650491.575484892596497496
